Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,
Settle Time,,,,0,ms,,,
Z-Position (Manual),,,,20800,µm,,,
Mode,,,,Absorbance,,,,
Wavelength,,,,660,nm,,,
Bandwidth,,,,9,nm,,,
Number of Flashes,,,,25,,,,
Settle Time,,,,0,ms,,,
Part of Plate,,,,B2-G11,,,,
Start Time:,9/30/2024 2:11:39 PM,,,,,,,
,,,,,,,,
,,,,,,,,
GFP,,,,,,,,
Cycle Nr.,1,,,,,,,
Time [s],0,,,,,,,
Temp. [°C],37,,,,,,,
B2,227,,,,,,,
B3,220,,,,,,,
B4,219,,,,,,,
B5,219,,,,,,,
B6,221,,,,,,,
B7,218,,,,,,,
B8,230,,,,,,,
B9,222,,,,,,,
B10,224,,,,,,,
B11,234,,,,,,,
C2,5218,,,,,,,
C3,5807,,,,,,,
C4,8222,,,,,,,
C5,6719,,,,,,,
C6,6231,,,,,,,
C7,4589,,,,,,,
C8,5600,,,,,,,
C9,6173,,,,,,,
C10,6593,,,,,,,
C11,6432,,,,,,,
D2,5793,,,,,,,
D3,6385,,,,,,,
D4,7794,,,,,,,
D5,9347,,,,,,,
D6,8492,,,,,,,
D7,5905,,,,,,,
D8,6561,,,,,,,
D9,7719,,,,,,,
D10,9427,,,,,,,
D11,8375,,,,,,,
E2,4940,,,,,,,
E3,6681,,,,,,,
E4,9087,,,,,,,
E5,9445,,,,,,,
E6,8588,,,,,,,
E7,5034,,,,,,,
E8,6539,,,,,,,
E9,9339,,,,,,,
E10,9587,,,,,,,
E11,8779,,,,,,,
F2,6136,,,,,,,
F3,9850,,,,,,,
F4,9636,,,,,,,
F5,9024,,,,,,,
F6,7722,,,,,,,
F7,5798,,,,,,,
F8,9857,,,,,,,
F9,9422,,,,,,,
F10,8788,,,,,,,
F11,7247,,,,,,,
G2,4798,,,,,,,
G3,5297,,,,,,,
G4,8608,,,,,,,
G5,6445,,,,,,,
G6,4418,,,,,,,
G7,4941,,,,,,,
G8,5450,,,,,,,
G9,8591,,,,,,,
G10,6630,,,,,,,
G11,4520,,,,,,,
,,,,,,,,
mCherry,,,,,,,,
Cycle Nr.,1,,,,,,,
Time [s],0,,,,,,,
Temp. [°C],37.3,,,,,,,
B2,8,,,,,,,
B3,7,,,,,,,
B4,7,,,,,,,
B5,7,,,,,,,
B6,8,,,,,,,
B7,9,,,,,,,
B8,8,,,,,,,
B9,6,,,,,,,
B10,9,,,,,,,
B11,9,,,,,,,
C2,8,,,,,,,
C3,8,,,,,,,
C4,7,,,,,,,
C5,9,,,,,,,
C6,7,,,,,,,
C7,7,,,,,,,
C8,9,,,,,,,
C9,9,,,,,,,
C10,9,,,,,,,
C11,7,,,,,,,
D2,7,,,,,,,
D3,8,,,,,,,
D4,8,,,,,,,
D5,7,,,,,,,
D6,8,,,,,,,
D7,8,,,,,,,
D8,7,,,,,,,
D9,7,,,,,,,
D10,7,,,,,,,
D11,7,,,,,,,
E2,8,,,,,,,
E3,8,,,,,,,
E4,8,,,,,,,
E5,8,,,,,,,
E6,8,,,,,,,
E7,5,,,,,,,
E8,8,,,,,,,
E9,9,,,,,,,
E10,9,,,,,,,
E11,8,,,,,,,
F2,6,,,,,,,
F3,7,,,,,,,
F4,8,,,,,,,
F5,8,,,,,,,
F6,7,,,,,,,
F7,8,,,,,,,
F8,6,,,,,,,
F9,9,,,,,,,
F10,9,,,,,,,
F11,8,,,,,,,
G2,8,,,,,,,
G3,7,,,,,,,
G4,7,,,,,,,
G5,7,,,,,,,
G6,8,,,,,,,
G7,8,,,,,,,
G8,8,,,,,,,
G9,7,,,,,,,
G10,7,,,,,,,
G11,8,,,,,,,
,,,,,,,,
OD660,,,,,,,,
Cycle Nr.,1,,,,,,,
Time [s],0,,,,,,,
Temp. [°C],37,,,,,,,
B2,0.089599996805191,,,,,,,
B3,0.091899998486042,,,,,,,
B4,0.0901999995112419,,,,,,,
B5,0.0904999971389771,,,,,,,
B6,0.0903000012040138,,,,,,,
B7,0.09009999781847,,,,,,,
B8,0.0908999964594841,,,,,,,
B9,0.0900000035762787,,,,,,,
B10,0.095100000500679,,,,,,,
B11,0.0898000001907349,,,,,,,
C2,0.428799986839294,,,,,,,
C3,0.407999992370605,,,,,,,
C4,0.38060000538826,,,,,,,
C5,0.297199994325638,,,,,,,
C6,0.45890000462532,,,,,,,
C7,0.391099989414215,,,,,,,
C8,0.399300009012222,,,,,,,
C9,0.317999988794327,,,,,,,
C10,0.291500002145767,,,,,,,
C11,0.464599996805191,,,,,,,
D2,0.382299989461899,,,,,,,
D3,0.389299988746643,,,,,,,
D4,0.380299985408783,,,,,,,
D5,0.402200013399124,,,,,,,
D6,0.424199998378754,,,,,,,
D7,0.378500014543533,,,,,,,
D8,0.391600012779236,,,,,,,
D9,0.381900012493134,,,,,,,
D10,0.400200009346008,,,,,,,
D11,0.425799995660782,,,,,,,
E2,0.420500010251999,,,,,,,
E3,0.366499990224838,,,,,,,
E4,0.35809999704361,,,,,,,
E5,0.436300009489059,,,,,,,
E6,0.400799989700317,,,,,,,
E7,0.418099999427795,,,,,,,
E8,0.357300013303757,,,,,,,
E9,0.360900014638901,,,,,,,
E10,0.43979999423027,,,,,,,
E11,0.403800010681152,,,,,,,
F2,0.362300008535385,,,,,,,
F3,0.358399987220764,,,,,,,
F4,0.36489999294281,,,,,,,
F5,0.444799989461899,,,,,,,
F6,0.431600004434586,,,,,,,
F7,0.352299988269806,,,,,,,
F8,0.357800006866455,,,,,,,
F9,0.358500003814697,,,,,,,
F10,0.429899990558624,,,,,,,
F11,0.411500006914139,,,,,,,
G2,0.400299996137619,,,,,,,
G3,0.392199993133545,,,,,,,
G4,0.428999990224838,,,,,,,
G5,0.46849998831749,,,,,,,
G6,0.437700003385544,,,,,,,
G7,0.405099987983704,,,,,,,
G8,0.397300004959106,,,,,,,
G9,0.418599992990494,,,,,,,
G10,0.463499993085861,,,,,,,
G11,0.439099997282028,,,,,,,
,,,,,,,,
,,,,,,,,
End Time:,9/30/2024 2:14:34 PM,,,,,,,
